date,away,away score,home,home score,winner
2019-08-18T19:00:00.000Z,London Spitfire,0,Atlanta Reign,0,N/A
2019-05-11T01:00:00.000Z,New York Excelsior,3,Los Angeles Gladiators,0,New York Excelsior
2019-02-15T03:30:00.000Z,Seoul Dynasty,3,Los Angeles Gladiators,1,Seoul Dynasty
2019-02-18T00:00:00.000Z,San Francisco Shock,2,Los Angeles Gladiators,3,Los Angeles Gladiators
2019-02-23T20:00:00.000Z,Los Angeles Gladiators,1,Paris Eternal,2,Paris Eternal
2019-03-02T00:00:00.000Z,Los Angeles Gladiators,1,London Spitfire,2,London Spitfire
2019-03-03T21:35:00.000Z,Hangzhou Spark,3,Los Angeles Gladiators,1,Hangzhou Spark
2019-03-08T01:30:00.000Z,Atlanta Reign,0,Los Angeles Gladiators,4,Los Angeles Gladiators
2019-03-09T23:40:00.000Z,Guangzhou Charge,1,Los Angeles Gladiators,3,Los Angeles Gladiators
2019-04-05T02:30:00.000Z,Shanghai Dragons,1,Los Angeles Gladiators,3,Los Angeles Gladiators
2019-04-06T03:35:00.000Z,Los Angeles Gladiators,3,Seoul Dynasty,2,Los Angeles Gladiators
2019-04-13T23:45:00.000Z,Los Angeles Gladiators,4,Guangzhou Charge,0,Los Angeles Gladiators
2019-04-14T23:30:00.000Z,Los Angeles Valiant,1,Los Angeles Gladiators,2,Los Angeles Gladiators
2019-04-19T01:55:00.000Z,Florida Mayhem,1,Los Angeles Gladiators,3,Los Angeles Gladiators
2019-04-21T00:00:00.000Z,Los Angeles Gladiators,3,Chengdu Hunters,1,Los Angeles Gladiators
2019-05-04T00:30:00.000Z,Boston Uprising,3,Los Angeles Gladiators,1,Boston Uprising
2019-06-08T03:55:00.000Z,Los Angeles Gladiators,4,Dallas Fuel,0,Los Angeles Gladiators
2019-06-09T23:45:00.000Z,Vancouver Titans,3,Los Angeles Gladiators,1,Vancouver Titans
2019-06-15T03:20:00.000Z,Los Angeles Gladiators,3,Philadelphia Fusion,1,Los Angeles Gladiators
2019-06-16T23:45:00.000Z,Washington Justice,0,Los Angeles Gladiators,4,Los Angeles Gladiators
2019-06-22T02:40:00.000Z,Los Angeles Gladiators,1,Shanghai Dragons,3,Shanghai Dragons
2019-06-29T02:00:00.000Z,Toronto Defiant,0,Los Angeles Gladiators,4,Los Angeles Gladiators
2019-06-30T19:00:00.000Z,Los Angeles Gladiators,0,Vancouver Titans,4,Vancouver Titans
